City,Country,Lat,Lng,Date,Cloudlieness,Humidity,Max Temp,Wind Speed
port alfred,ZA,-33.59,26.89,1560981161,100,37,20.56,3.58
hilo,US,19.71,-155.08,1560981162,75,51,29.0,5.1
bredasdorp,ZA,-34.53,20.04,1560981163,100,62,11.0,0.5
lumby,CA,50.25,-118.97,1560981164,90,71,18.33,3.6
ushuaia,AR,-54.81,-68.31,1560981165,40,69,3.0,10.8
airai,TL,-8.93,125.41,1560981167,0,84,19.05,2.79
jamestown,AU,-33.21,138.6,1560981168,0,71,4.45,2.57
hermanus,ZA,-34.42,19.24,1560981170,100,39,15.0,4.9
hobart,AU,-42.88,147.33,1560981008,40,75,5.0,4.6
victoria,BN,5.28,115.24,1560981173,90,94,26.0,2.1
saldanha,PT,41.42,-6.55,1560981174,26,70,15.25,2.28
nkhotakota,MW,-12.93,34.3,1560981175,27,90,14.15,1.41
rikitea,PF,-23.12,-134.97,1560981178,98,74,22.15,10.17
maningrida,AU,-12.05,134.23,1560981179,97,54,20.25,5.05
vaini,IN,15.34,74.49,1560981181,57,87,25.45,0.8
praia da vitoria,PT,38.73,-27.07,1560981182,20,82,20.0,3.98
aswan,EG,24.09,32.9,1560981183,0,21,31.35,0.67
cape town,ZA,-33.93,18.42,1560981037,0,50,16.11,4.1
bara,NG,10.41,10.6,1560981185,0,59,28.95,5.75
castro,CL,-42.48,-73.76,1560981188,90,93,10.0,5.7
novyy yarychiv,UA,49.9,24.31,1560981189,0,83,21.0,3.0
orsha,BY,54.51,30.43,1560981190,0,83,15.65,1.72
mataura,NZ,-46.19,168.86,1560981191,100,92,1.67,1.85
galveston,US,40.58,-86.19,1560981193,75,100,23.89,7.7
arraial do cabo,BR,-22.97,-42.02,1560981194,0,88,23.0,2.6
yar-sale,RU,66.83,70.83,1560981195,4,78,1.55,1.17
suhut,TR,38.53,30.55,1560981196,100,94,13.85,2.5
tuktoyaktuk,CA,69.44,-133.03,1560981197,90,86,4.0,4.1
seoul,KR,37.57,126.98,1560981122,90,100,20.0,1.0
fortuna,ES,38.18,-1.13,1560981201,0,88,23.89,1.0
haines junction,CA,60.75,-137.51,1560981203,100,75,10.65,1.73
busselton,AU,-33.64,115.35,1560981204,100,58,5.0,7.66
ribeira grande,PT,38.52,-28.7,1560981205,20,82,20.0,3.6
san patricio,PY,-26.98,-56.83,1560981206,0,71,14.35,2.13
saint george,GR,39.45,22.34,1560981208,20,60,26.11,2.1
iskateley,RU,67.68,53.15,1560981209,98,80,1.45,1.69
bambous virieux,MU,-20.34,57.76,1560981210,40,69,23.0,6.2
bryanka,UA,48.51,38.67,1560981212,0,91,18.45,3.6
iqaluit,CA,63.75,-68.52,1560981213,20,70,9.0,2.6
carnarvon,ZA,-30.97,22.13,1560981215,100,36,11.45,2.94
eyl,SO,7.98,49.82,1560981216,100,50,28.95,10.37
luderitz,NA,-26.65,15.16,1560981217,49,25,23.0,3.6
port elizabeth,US,39.31,-74.98,1560981218,1,74,31.11,3.6
lorengau,PG,-2.02,147.27,1560981219,100,81,27.15,3.23
toora-khem,RU,52.47,96.11,1560981220,5,97,8.05,1.5
norman wells,CA,65.28,-126.83,1560981222,75,28,20.0,2.1
sayyan,YE,15.17,44.32,1560981223,99,56,26.05,0.46
yulara,AU,-25.24,130.99,1560981224,0,74,2.0,3.1
teguise,ES,29.06,-13.56,1560981225,20,73,22.0,3.6
sonoita,US,31.68,-110.66,1560981226,1,2,38.33,5.1
mar del plata,AR,-46.43,-67.52,1560981228,20,71,8.45,6.4
chernyshkovskiy,RU,48.42,42.23,1560981229,0,85,19.25,3.16
mitu,IR,36.2,46.09,1560981230,0,44,17.65,2.26
padang,ID,-0.92,100.36,1560981231,5,81,27.55,1.77
hungen,DE,50.48,8.9,1560981232,0,57,24.44,2.6
shimoda,JP,34.7,138.93,1560981237,14,91,18.89,1.83
atyashevo,RU,54.56,46.07,1560981238,0,90,15.05,2.2
aksu,KZ,52.04,76.93,1560981239,0,93,11.0,2.35
chimore,BO,-16.98,-65.13,1560981241,100,99,16.85,0.82
tiksi,RU,71.64,128.87,1560981238,54,65,9.05,6.36
sokolka,RU,52.46,43.89,1560981243,0,89,16.05,2.5
yellowknife,CA,62.45,-114.38,1560981244,75,56,20.0,4.1
